date,year,month,metric,value,unit,region,source
1/1/2021,2021,January,tea_production,48890000,kg,all,
2/1/2021,2021,February,tea_production,43390000,kg,all,
3/1/2021,2021,March,tea_production,48690000,kg,all,
4/1/2021,2021,April,tea_production,45320000,kg,all,
5/1/2021,2021,May,tea_production,43460000,kg,all,
6/1/2021,2021,June,tea_production,34730000,kg,all,
7/1/2021,2021,July,tea_production,34730000,kg,all,
8/1/2021,2021,August,tea_production,33630000,kg,all,
9/1/2021,2021,September,tea_production,43180000,kg,all,
10/1/2021,2021,October,tea_production,48950000,kg,all,
11/1/2021,2021,November,tea_production,49400000,kg,all,
12/1/2021,2021,December,tea_production,52520000,kg,all,
1/1/2022,2022,January,tea_production,48683030,kg,all,kenya-tea-industry-performance-highlights-2022-January.pdf
2/1/2022,2022,February,tea_production,40960000,kg,all,
3/1/2022,2022,March,tea_production,46321066,kg,all,kenya-tea-industry-performance-highlights-2022-March.pdf
4/1/2022,2022,April,tea_production,41171296,kg,all,kenya-tea-industry-performance-highlights-2022-April.pdf
5/1/2022,2022,May,tea_production,50250000,kg,all,
6/1/2022,2022,June,tea_production,43268314,kg,all,kenya-tea-industry-performance-highlights-2022-June.pdf
7/1/2022,2022,July,tea_production,34000000,kg,all,
8/1/2022,2022,August,tea_production,36060000,kg,all,
9/1/2022,2022,September,tea_production,38340000,kg,all,
10/1/2022,2022,October,tea_production,50610000,kg,all,
11/1/2022,2022,November,tea_production,49220258,kg,all,kenya-tea-industry-performance-highlights-2022-November.pdf
12/1/2022,2022,December,tea_production,55322615,kg,all,kenya-tea-industry-performance-highlights-2022-December.pdf
1/1/2023,2023,January,tea_production,54919185,kg,all,kenya-tea-industry-performance-highlights-2023-January.pdf
2/1/2023,2023,February,tea_production,32730272,kg,all,kenya-tea-industry-performance-highlights-2023-February.pdf
3/1/2023,2023,March,tea_production,30480000,kg,all,
4/1/2023,2023,April,tea_production,49491391,kg,all,kenya-tea-industry-performance-highlights-2023-April.pdf
5/1/2023,2023,May,tea_production,57880000,kg,all,
6/1/2023,2023,June,tea_production,48127888,kg,all,kenya-tea-industry-performance-highlights-2023-June.pdf
7/1/2023,2023,July,tea_production,44696615,kg,all,kenya-tea-industry-performance-highlights-2023-July.pdf
8/1/2023,2023,August,tea_production,45577653,kg,all,kenya-tea-industry-performance-highlights-2023-August.pdf
9/1/2023,2023,September,tea_production,48308315,kg,all,kenya-tea-industry-performance-highlights-2023-September.pdf
10/1/2023,2023,October,tea_production,52792669,kg,all,kenya-tea-industry-performance-highlights-2023-October.pdf
11/1/2023,2023,November,tea_production,50000000,kg,all,
12/1/2023,2023,December,tea_production,53000000,kg,all,
1/1/2024,2024,January,tea_production,58966889,kg,all,kenya-tea-industry-performance-highlights-2024-January.pdf
2/1/2024,2024,February,tea_production,55447323,kg,all,kenya-tea-industry-performance-highlights-2024-February.pdf
3/1/2024,2024,March,tea_production,54850000,kg,all,
4/1/2024,2024,April,tea_production,53852778,kg,all,kenya-tea-industry-performance-highlights-2024-April.pdf
5/1/2024,2024,May,tea_production,41885307,kg,all,kenya-tea-industry-performance-highlights-2024-May.pdf
6/1/2024,2024,June,tea_production,46160000,kg,all,
7/1/2024,2024,July,tea_production,40820000,kg,all,
8/1/2024,2024,August,tea_production,38620000,kg,all,
9/1/2024,2024,September,tea_production,42410000,kg,all,
10/1/2024,2024,October,tea_production,50060000,kg,all,
11/1/2024,2024,November,tea_production,47410000,kg,all,
12/1/2024,2024,December,tea_production,55830000,kg,all,
1/1/2025,2025,January,tea_production,54360000,kg,all,
2/1/2025,2025,February,tea_production,44617082,kg,all,kenya-tea-industry-performance-highlights-2025-February.pdf
3/1/2025,2025,March,tea_production,37930000,kg,all,
4/1/2025,2025,April,tea_production,51780000,kg,all,kenya-tea-industry-performance-highlights-2025-April.pdf
5/1/2025,2025,May,tea_production,52139344,kg,all,kenya-tea-industry-performance-highlights-2025-May.pdf
6/1/2025,2025,June,tea_production,42416013,kg,all,kenya-tea-industry-performance-highlights-2025-June.pdf
7/1/2025,2025,July,tea_production,39040000,kg,all,
8/1/2025,2025,August,tea_production,36870000,kg,all,
9/1/2025,2025,September,tea_production,42519109,kg,all,kenya-tea-industry-performance-highlights-2025-September.pdf
10/1/2025,2025,October,tea_production,49700000,kg,all,
11/1/2025,2025,November,tea_production,48270000,kg,all,
12/1/2025,2025,December,tea_production,49700000,kg,all,
1/1/2026,2026,January,tea_production,51231900,kg,all,kenya-tea-industry-performance-highlights-2026-January.pdf
2/1/2026,2026,February,tea_production,37359195,kg,all,kenya-tea-industry-performance-highlights-2026-February.pdf
3/1/2026,2026,March,tea_production,52533093,kg,all,kenya-tea-industry-performance-highlights-2026-March.pdf
